Date	Open	High	Low	Close	Volume	Market Cap
Oct 17, 2019	8,047.81	8,134.83	8,000.94	8,103.91	14,313,052,244	145,853,994,298
Oct 16, 2019	8,204.67	8,216.81	7,985.09	8,047.53	16,071,646,996	144,823,993,562
Oct 15, 2019	8,373.46	8,410.71	8,182.71	8,205.37	15,220,412,632	147,650,082,215
Oct 14, 2019	8,320.83	8,390.21	8,284.13	8,374.69	15,151,387,859	150,680,499,056
Oct 13, 2019	8,336.90	8,470.99	8,276.61	8,321.01	13,808,286,059	149,700,817,939
Oct 12, 2019	8,315.66	8,415.24	8,313.34	8,336.56	14,532,641,605	149,965,767,624
Oct 11, 2019	8,585.26	8,721.78	8,316.18	8,321.76	19,604,381,101	149,685,618,275
Oct 10, 2019	8,585.28	8,625.27	8,471.93	8,586.47	17,618,660,671	154,430,515,160
Oct 09, 2019	8,229.84	8,627.71	8,169.30	8,595.74	19,384,942,333	154,579,656,110
Oct 08, 2019	8,246.85	8,332.72	8,185.76	8,228.78	15,592,264,032	147,966,069,982
Oct 07, 2019	7,989.12	8,308.45	7,905.77	8,245.62	18,009,742,607	148,252,589,805
Oct 06, 2019	8,149.88	8,161.41	7,958.85	7,988.16	13,160,830,305	143,607,672,862
Oct 05, 2019	8,210.15	8,215.53	8,071.12	8,151.50	12,200,497,197	146,529,229,668
Oct 04, 2019	8,259.49	8,260.06	8,151.24	8,205.94	13,139,456,229	147,491,804,056
Oct 03, 2019	8,390.77	8,414.23	8,146.44	8,259.99	13,668,823,409	148,448,162,840
Oct 02, 2019	8,344.21	8,393.04	8,227.70	8,393.04	13,125,712,443	150,823,797,662
Oct 01, 2019	8,299.72	8,497.69	8,232.68	8,343.28	15,305,343,413	149,913,972,768
